City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Chernyshevskiy,63.0128,112.4714,-17.0,100,100,2.42,RU,2021-12-31 19:38:39
1,Hobart,-42.8794,147.3294,62.28,86,0,5.75,AU,2021-12-31 19:37:42
2,Beeville,28.4008,-97.7483,87.35,54,1,17.27,US,2021-12-31 19:38:40
3,Punta Arenas,-53.15,-70.9167,51.82,46,40,29.93,CL,2021-12-31 19:38:40
4,Atuona,-9.8,-139.0333,78.04,77,8,15.88,PF,2021-12-31 19:38:40
5,Beloha,-25.1667,45.05,74.93,83,97,9.35,MG,2021-12-31 19:38:41
6,Nalut,30.3333,10.85,53.51,65,0,10.2,LY,2021-12-31 19:38:41
7,Bethel,41.3712,-73.414,51.89,86,90,4.61,US,2021-12-31 19:38:42
8,Ponta Do Sol,32.6667,-17.1,73.13,40,71,4.65,PT,2021-12-31 19:38:42
9,Casalmaggiore,44.9939,10.4189,54.39,85,3,4.07,IT,2021-12-31 19:38:42
10,Haines Junction,60.7522,-137.5108,3.02,98,100,1.77,CA,2021-12-31 19:38:43
11,Port Hedland,-20.3167,118.5667,82.45,78,0,13.8,AU,2021-12-31 19:38:43
12,Saint George,37.1041,-113.5841,50.47,79,90,8.01,US,2021-12-31 19:35:00
13,Tuktoyaktuk,69.4541,-133.0374,-25.6,68,90,8.05,CA,2021-12-31 19:38:44
14,Santander,43.4647,-3.8044,56.52,77,0,0.0,ES,2021-12-31 19:38:44
15,Knokke-Heist,51.3333,3.3333,56.05,88,100,8.99,BE,2021-12-31 19:38:45
16,Clyde River,70.4692,-68.5914,-7.37,84,90,10.36,CA,2021-12-31 19:38:45
17,North Bend,43.4065,-124.2243,44.85,95,90,5.75,US,2021-12-31 19:38:46
18,Cape Town,-33.9258,18.4232,64.35,71,20,4.0,ZA,2021-12-31 19:38:17
19,Ushuaia,-54.8,-68.3,42.42,87,75,18.41,AR,2021-12-31 19:38:46
20,Rikitea,-23.1203,-134.9692,77.67,72,22,12.01,PF,2021-12-31 19:38:47
21,Upernavik,72.7868,-56.1549,4.3,71,100,1.14,GL,2021-12-31 19:38:47
22,Bredasdorp,-34.5322,20.0403,63.72,63,100,11.5,ZA,2021-12-31 19:38:47
23,Namie,37.4833,141.0,26.98,61,50,15.88,JP,2021-12-31 19:38:48
24,Macia,-25.0269,33.0989,69.91,97,100,4.5,MZ,2021-12-31 19:38:48
25,Puerto Ayora,-0.7393,-90.3518,80.56,83,81,8.99,EC,2021-12-31 19:38:49
26,Hualmay,-11.0964,-77.6139,74.08,72,67,9.04,PE,2021-12-31 19:38:49
27,Chuy,-33.6971,-53.4616,79.34,61,0,15.41,UY,2021-12-31 19:38:49
28,Victoria,22.2855,114.1577,64.38,83,76,1.99,HK,2021-12-31 19:38:50
29,Touros,-5.1989,-35.4608,86.9,72,100,13.31,BR,2021-12-31 19:38:50
30,Costa Rica,-23.4167,-54.65,90.14,34,73,6.13,BR,2021-12-31 19:36:17
31,Vaini,-21.2,-175.2,75.36,94,90,3.44,TO,2021-12-31 19:38:51
32,Voh,-20.9667,164.7,76.69,93,100,5.1,NC,2021-12-31 19:38:51
33,Kruisfontein,-34.0033,24.7314,65.88,84,1,11.72,ZA,2021-12-31 19:38:52
34,Rapid City,44.0805,-103.231,11.55,74,90,1.99,US,2021-12-31 19:38:52
35,Faanui,-16.4833,-151.75,81.25,77,63,17.34,PF,2021-12-31 19:34:11
36,Albany,42.6001,-73.9662,50.81,94,90,3.67,US,2021-12-31 19:36:52
37,Port Elizabeth,-33.918,25.5701,68.09,82,0,16.11,ZA,2021-12-31 19:38:53
38,Hermanus,-34.4187,19.2345,63.9,79,94,14.72,ZA,2021-12-31 19:38:54
39,Cherskiy,68.75,161.3,-29.76,100,97,1.57,RU,2021-12-31 19:38:54
40,Hofn,64.2539,-15.2082,32.07,79,100,12.03,IS,2021-12-31 19:38:55
41,Torbay,47.6666,-52.7314,30.58,81,90,3.0,CA,2021-12-31 19:35:28
42,Bluff,-46.6,168.3333,57.79,82,93,9.91,NZ,2021-12-31 19:38:55
43,Corrente,-3.7367,-43.3394,82.76,63,100,3.94,BR,2021-12-31 19:38:55
44,Natal,-5.795,-35.2094,86.65,74,40,16.11,BR,2021-12-31 19:38:56
45,Hilo,19.7297,-155.09,72.81,93,90,5.75,US,2021-12-31 19:38:56
46,Qaanaaq,77.484,-69.3632,-4.88,62,88,7.72,GL,2021-12-31 19:38:57
47,Pilar,-9.5972,-35.9567,84.13,64,46,11.65,BR,2021-12-31 19:38:57
48,La Maddalena,41.2142,9.4083,55.45,90,47,15.64,IT,2021-12-31 19:38:58
49,Pacific Grove,36.6177,-121.9166,54.41,70,20,4.0,US,2021-12-31 19:34:20
50,Barrow,71.2906,-156.7887,-18.38,69,20,6.91,US,2021-12-31 19:38:58
51,Avarua,-21.2078,-159.775,80.65,74,96,13.8,CK,2021-12-31 19:38:59
52,Kushima,31.4583,131.2333,35.11,73,33,6.8,JP,2021-12-31 19:38:59
53,Berlevag,70.8578,29.0864,28.53,55,100,17.02,NO,2021-12-31 19:38:59
54,Asau,46.4333,26.4,31.28,97,96,7.67,RO,2021-12-31 19:39:00
55,Kodiak,57.79,-152.4072,36.91,87,40,5.75,US,2021-12-31 19:39:00
56,Busselton,-33.65,115.3333,54.09,81,24,9.22,AU,2021-12-31 19:39:01
57,Butaritari,3.0707,172.7902,80.91,76,98,6.08,KI,2021-12-31 19:39:01
58,Dukat,62.55,155.55,-22.32,97,100,6.04,RU,2021-12-31 19:39:02
59,Tashtyp,52.7939,89.8983,2.41,90,100,2.73,RU,2021-12-31 19:39:02
60,Mataura,-46.1927,168.8643,57.47,86,100,3.67,NZ,2021-12-31 19:39:02
61,Eldorado,-23.7869,-54.2836,89.46,39,67,12.06,BR,2021-12-31 19:39:03
62,Garmsar,35.2182,52.3409,46.36,47,93,5.17,IR,2021-12-31 19:39:03
63,Eureka,40.8021,-124.1637,46.2,95,98,1.01,US,2021-12-31 19:34:12
64,Klaksvik,62.2266,-6.589,38.32,64,100,16.89,FO,2021-12-31 19:39:04
65,Dunedin,-45.8742,170.5036,61.05,73,63,4.61,NZ,2021-12-31 19:34:34
66,Tiksi,71.6872,128.8694,-33.95,99,97,3.02,RU,2021-12-31 19:39:05
67,Taywarah,33.35,64.4167,24.3,97,69,4.27,AF,2021-12-31 19:39:05
68,Puerto Escondido,15.85,-97.0667,83.68,53,1,8.1,MX,2021-12-31 19:39:05
69,Narsaq,60.9167,-46.05,16.02,56,74,7.47,GL,2021-12-31 19:39:06
70,Quatre Cocos,-20.2078,57.7625,77.11,74,41,10.36,MU,2021-12-31 19:36:16
71,Arraial Do Cabo,-22.9661,-42.0278,76.96,88,90,9.22,BR,2021-12-31 19:39:06
72,Sao Joao Da Barra,-21.6403,-41.0511,80.69,89,100,16.06,BR,2021-12-31 19:39:07
73,Vila Franca Do Campo,37.7167,-25.4333,63.01,73,53,15.32,PT,2021-12-31 19:39:07
74,Ribeira Grande,38.5167,-28.7,57.6,82,40,18.41,PT,2021-12-31 19:39:08
75,Hithadhoo,-0.6,73.0833,81.55,73,6,9.53,MV,2021-12-31 19:39:08
76,Nikolskoye,59.7035,30.7861,30.4,95,93,6.15,RU,2021-12-31 19:39:08
77,Bedesa,8.9,40.7833,63.66,49,10,0.78,ET,2021-12-31 19:39:09
78,Mago,53.2514,140.1822,-9.98,91,98,4.56,RU,2021-12-31 19:34:25
79,Janauba,-15.8025,-43.3089,76.24,84,100,3.78,BR,2021-12-31 19:39:10
80,Khatanga,71.9667,102.5,-42.56,98,100,3.8,RU,2021-12-31 19:39:10
81,Saint-Philippe,-21.3585,55.7679,74.79,78,89,11.43,RE,2021-12-31 19:39:11
82,Balabac,7.9868,117.0645,80.28,80,100,22.01,PH,2021-12-31 19:39:11
83,Castro,-24.7911,-50.0119,69.24,86,46,5.44,BR,2021-12-31 19:39:12
84,Chokurdakh,70.6333,147.9167,-33.68,100,100,1.41,RU,2021-12-31 19:39:12
85,Walvis Bay,-22.9575,14.5053,65.35,72,0,12.66,NA,2021-12-31 19:39:13
86,Norman Wells,65.282,-126.8329,-45.36,59,20,2.3,CA,2021-12-31 19:39:13
87,Vestmannaeyjar,63.4427,-20.2734,37.35,77,100,26.57,IS,2021-12-31 19:39:14
88,New Norfolk,-42.7826,147.0587,61.92,60,0,2.62,AU,2021-12-31 19:39:14
89,Yaqui,27.3667,-110.1667,68.56,84,100,16.98,MX,2021-12-31 19:39:14
90,Aklavik,68.2191,-135.0107,-31.97,67,75,0.0,CA,2021-12-31 19:39:15
91,Caravelas,-17.7125,-39.2481,79.86,77,100,8.08,BR,2021-12-31 19:39:15
92,Labuhan,-6.8844,112.2051,78.53,84,100,6.98,ID,2021-12-31 19:39:16
93,Kapaa,22.0752,-159.319,78.78,86,75,1.01,US,2021-12-31 19:39:01
94,Oranjemund,-28.55,16.4333,62.46,81,1,6.04,NA,2021-12-31 19:39:16
95,Ossora,59.2353,163.0719,30.88,96,100,31.97,RU,2021-12-31 19:39:17
96,Provideniya,64.3833,-173.3,-5.8,78,10,7.14,RU,2021-12-31 19:39:17
97,Ilulissat,69.2167,-51.1,17.62,32,100,12.66,GL,2021-12-31 19:39:18
98,Husavik,66.0449,-17.3389,6.71,69,99,9.69,IS,2021-12-31 19:39:18
99,Yellowknife,62.456,-114.3525,-27.71,82,20,8.05,CA,2021-12-31 19:34:20
100,Sola,-13.8833,167.55,83.1,76,100,6.51,VU,2021-12-31 19:39:19
101,San Patricio,28.017,-97.5169,89.58,55,0,20.09,US,2021-12-31 19:39:19
102,Hanko,59.8333,22.95,32.85,86,51,4.23,FI,2021-12-31 19:39:19
103,Yar-Sale,66.8333,70.8333,-5.89,98,100,8.7,RU,2021-12-31 19:39:20
104,Ribeira Brava,32.65,-17.0667,73.13,40,73,2.91,PT,2021-12-31 19:39:20
105,Hvide Sande,56.0045,8.1294,46.69,99,85,12.15,DK,2021-12-31 19:39:21
106,Bara,10.3744,10.7288,73.47,17,0,7.49,NG,2021-12-31 19:39:21
107,Asyut,27.181,31.1837,57.38,78,99,2.33,EG,2021-12-31 19:39:22
108,Port Alfred,-33.5906,26.891,68.47,83,65,20.33,ZA,2021-12-31 19:39:22
109,Torres,-29.3353,-49.7269,82.83,77,66,12.97,BR,2021-12-31 19:39:23
110,Pisco,-13.7,-76.2167,77.05,61,0,19.57,PE,2021-12-31 19:34:45
111,Thompson,55.7435,-97.8558,-7.44,71,75,10.36,CA,2021-12-31 19:36:09
112,Zonguldak,41.25,31.8333,41.38,98,100,1.83,TR,2021-12-31 19:39:23
113,Grand-Santi,4.25,-54.3833,77.45,96,97,3.76,GF,2021-12-31 19:39:24
114,Esperance,-33.8667,121.9,62.44,72,100,11.86,AU,2021-12-31 19:39:24
115,Sabha,27.0377,14.4283,54.25,51,0,10.4,LY,2021-12-31 19:39:25
116,East London,-33.0153,27.9116,68.85,82,92,17.25,ZA,2021-12-31 19:39:25
117,Coihaique,-45.5752,-72.0662,59.61,58,75,11.5,CL,2021-12-31 19:39:25
118,Ostrovnoy,68.0531,39.5131,19.96,95,100,4.41,RU,2021-12-31 19:39:26
119,Opuwo,-18.0607,13.84,75.18,31,64,9.15,NA,2021-12-31 19:39:26
120,Kavieng,-2.5744,150.7967,82.2,75,100,2.21,PG,2021-12-31 19:39:27
121,Harwich,51.9419,1.2844,56.37,83,99,5.01,GB,2021-12-31 19:39:27
122,Martinsburg,39.4562,-77.9639,61.68,79,20,4.61,US,2021-12-31 19:39:28
123,Mocajuba,-2.5842,-49.5072,81.57,78,100,4.25,BR,2021-12-31 19:39:28
124,Jamestown,42.097,-79.2353,50.29,52,40,5.01,US,2021-12-31 19:35:15
125,Pervomayskiy,53.2485,40.2871,24.13,96,97,11.1,RU,2021-12-31 19:39:29
126,Maniitsoq,65.4167,-52.9,14.45,67,96,7.9,GL,2021-12-31 19:39:29
127,Vicuna,-30.0319,-70.7081,60.53,46,2,9.15,CL,2021-12-31 19:39:30
128,Saldanha,-33.0117,17.9442,62.65,79,31,5.17,ZA,2021-12-31 19:39:30
129,Alihe,50.5667,123.7167,-10.17,89,100,1.9,CN,2021-12-31 19:39:30
130,Petropavlovsk-Kamchatskiy,53.0452,158.6483,23.59,86,75,6.71,RU,2021-12-31 19:39:31
131,Naze,28.3667,129.4833,54.9,60,100,11.41,JP,2021-12-31 19:39:31
132,Sindor,62.8629,51.8905,13.48,93,100,9.31,RU,2021-12-31 19:39:32
133,Longyearbyen,78.2186,15.6401,10.24,56,0,6.91,SJ,2021-12-31 19:39:32
134,Barcelos,41.5388,-8.6151,63.68,72,100,6.98,PT,2021-12-31 19:39:32
135,Weligama,5.9667,80.4167,74.73,89,92,9.53,LK,2021-12-31 19:39:33
136,Raudeberg,61.9875,5.1352,39.87,59,88,12.1,NO,2021-12-31 19:39:33
137,Tasiilaq,65.6145,-37.6368,15.96,57,13,4.36,GL,2021-12-31 19:39:34
138,Leningradskiy,69.3833,178.4167,-23.93,95,40,6.08,RU,2021-12-31 19:39:34
139,Porto Velho,-8.7619,-63.9039,86.05,66,40,5.75,BR,2021-12-31 19:39:35
140,Katete,-0.7818,29.7544,62.13,98,100,2.66,UG,2021-12-31 19:39:35
141,Laguna,38.421,-121.4238,53.01,83,20,1.99,US,2021-12-31 19:36:42
142,Kirovskiy,45.0917,133.5136,-17.16,95,10,2.55,RU,2021-12-31 19:39:36
143,Port-Gentil,-0.7193,8.7815,78.76,89,40,5.75,GA,2021-12-31 19:39:36
144,Hervey Bay,-25.2986,152.8535,74.03,89,100,18.37,AU,2021-12-31 19:39:36
